名次,学校名称,所在地区,类型,总分,科学研究,人才培养,综合声誉,办学类型,星级排名,办学层次
519,宁波工程学院,浙江,理工,61.21,60.2,62.46,60,应用型,-,-
522,惠州学院,广东,综合,61.2,60.06,62.5,60.23,应用型,-,-
522,郑州航空工业管理学院,河南,财经,61.2,60.09,62.53,60,应用型,-,-
524,福建工程学院,福建,理工,61.19,60.12,62.46,60,应用型,-,-
524,广东技术师范学院,广东,师范,61.19,60.11,62.49,60,应用型,-,-
524,川北医学院,四川,医药,61.19,60.1,62.49,60,应用型,-,-
524,湖北经济学院,湖北,财经,61.19,60.08,62.49,60.16,应用型,-,-
524,南京晓庄学院,江苏,师范,61.19,60.1,62.46,60.16,应用型,-,-
524,陕西理工学院,陕西,理工,61.19,60.07,62.52,60,应用型,-,-
524,仲恺农业工程学院,广东,农林,61.19,60.13,62.48,60,应用型,-,-
531,广西财经学院,广西,财经,61.18,60.12,62.46,60,应用型,-,-
531,乐山师范学院,四川,师范,61.18,60.06,62.5,60,应用型,-,-
531,广东金融学院,广东,财经,61.18,60.08,62.47,60.16,应用型,-,-
531,厦门理工学院,福建,理工,61.18,60.07,62.46,60.16,应用型,-,-
531,中国劳动关系学院,北京,政法,61.18,60.07,62.46,60.16,应用型,-,-
531,合肥师范学院,安徽,师范,61.18,60.05,62.48,60.16,应用型,-,-
531,上海金融学院,上海,财经,61.18,60.05,62.49,60.16,应用型,-,-
531,湖北师范学院,湖北,师范,61.18,60.05,62.52,60,应用型,-,-
531,宝鸡文理学院,陕西,师范,61.18,60.08,62.5,60,应用型,-,-
531,河南科技学院,河南,师范,61.18,60.08,62.49,60,应用型,-,-
531,台州学院,浙江,综合,61.18,60.12,62.46,60,应用型,-,-
531,安阳师范学院,河南,师范,61.18,60.08,62.5,60,应用型,-,-
